Encuestado,ID Pregunta,Texto Pregunta,Respuesta
1,12,"Elegí las habilidades Pokémon que considerás más importantes","Velocidad"
1,12,"Elegí las habilidades Pokémon que considerás más importantes","Defensa"
1,13,"¿Cuál es tu tipo de Pokémon favorito?"","Agua"
1,14,""¿Qué Pokémon elegirías como tu compañero y por qué?"","Elegiría a Pikachu porque es leal, divertido y siempre está listo para una aventura."
2,12,"Elegí las habilidades Pokémon que considerás más importantes","Estrategia"
2,13,"¿Cuál es tu tipo de Pokémon favorito?"","Eléctrico"
2,14,""¿Qué Pokémon elegirías como tu compañero y por qué?"","Me gustaría tener a Charizard, ya que su poder y habilidades de vuelo serían increíbles para explorar el mundo."
3,12,"Elegí las habilidades Pokémon que considerás más importantes","Velocidad"
3,12,"Elegí las habilidades Pokémon que considerás más importantes","Ataque"
3,12,"Elegí las habilidades Pokémon que considerás más importantes","Defensa"
3,12,"Elegí las habilidades Pokémon que considerás más importantes","Estrategia"
3,13,"¿Cuál es tu tipo de Pokémon favorito?"","Planta"
3,14,""¿Qué Pokémon elegirías como tu compañero y por qué?"","Optaría por Eevee, porque puede evolucionar en diferentes formas y eso me daría más posibilidades para ganar batallas"
4,12,"Elegí las habilidades Pokémon que considerás más importantes","Defensa"
4,12,"Elegí las habilidades Pokémon que considerás más importantes","Estrategia"
4,13,"¿Cuál es tu tipo de Pokémon favorito?"","Eléctrico"
4,14,""¿Qué Pokémon elegirías como tu compañero y por qué?"","Elegiría a Gardevoir, ya que su conexión emocional y habilidades psíquicas serían muy útiles."
5,12,"Elegí las habilidades Pokémon que considerás más importantes","Defensa"
5,12,"Elegí las habilidades Pokémon que considerás más importantes","Estrategia"
5,13,"¿Cuál es tu tipo de Pokémon favorito?"","Planta"
5,14,""¿Qué Pokémon elegirías como tu compañero y por qué?"","Quisiera tener a Snorlax, porque su personalidad relajada y su gran tamaño lo harían un compañero divertido y protector."
