Encuestado,ID Pregunta,Texto Pregunta,Respuesta
1,19,"¿qué onomatopeya preferís?","mmm"
1,20,"¿Cuál es tu preferido de la serie Bob Esponja?","esponja"
1,20,"¿Cuál es tu preferido de la serie Bob Esponja?","calamardo"
1,18,"¿Qué hay de comer?","Hay pizza y empanadas hoy."
2,19,"¿qué onomatopeya preferís?","naaa"
2,20,"¿Cuál es tu preferido de la serie Bob Esponja?","boooob"
2,20,"¿Cuál es tu preferido de la serie Bob Esponja?","calamardo"
2,18,"¿Qué hay de comer?","manzana con papas fritas"
3,19,"¿qué onomatopeya preferís?","naaa"
3,20,"¿Cuál es tu preferido de la serie Bob Esponja?","boooob"
3,20,"¿Cuál es tu preferido de la serie Bob Esponja?","calamardo"
3,18,"¿Qué hay de comer?","manzana con papas fritas"
4,19,"¿qué onomatopeya preferís?","mmm"
4,20,"¿Cuál es tu preferido de la serie Bob Esponja?","esponja"
4,20,"¿Cuál es tu preferido de la serie Bob Esponja?","noooop"
4,18,"¿Qué hay de comer?","naranja"
5,19,"¿qué onomatopeya preferís?","mmm"
5,20,"¿Cuál es tu preferido de la serie Bob Esponja?","calamardo"
5,20,"¿Cuál es tu preferido de la serie Bob Esponja?","noooop"
5,18,"¿Qué hay de comer?","manzana "
6,19,"¿qué onomatopeya preferís?","mmm"
6,20,"¿Cuál es tu preferido de la serie Bob Esponja?","calamardo"
6,20,"¿Cuál es tu preferido de la serie Bob Esponja?","noooop"
6,18,"¿Qué hay de comer?","manzana "
7,19,"¿qué onomatopeya preferís?","mmm"
7,20,"¿Cuál es tu preferido de la serie Bob Esponja?","calamardo"
7,20,"¿Cuál es tu preferido de la serie Bob Esponja?","noooop"
7,18,"¿Qué hay de comer?","manzana compota"
8,19,"¿qué onomatopeya preferís?","mmm"
8,20,"¿Cuál es tu preferido de la serie Bob Esponja?","calamardo"
8,20,"¿Cuál es tu preferido de la serie Bob Esponja?","noooop"
8,18,"¿Qué hay de comer?","manzana roja"
9,19,"¿qué onomatopeya preferís?","mmm"
9,20,"¿Cuál es tu preferido de la serie Bob Esponja?","calamardo"
9,20,"¿Cuál es tu preferido de la serie Bob Esponja?","noooop"
9,18,"¿Qué hay de comer?","manzana verde"
